id,prov_id,provenance_url
dc/base/USFEMA_NationalRiskIndex,dc/base/USFEMA_NationalRiskIndex,https://hazards.fema.gov/nri/
dc/base/EPA_EJSCREEN,dc/base/EPA_EJSCREEN,https://gaftp.epa.gov/EJSCREEN/
dc/base/CensusSuperTMCFTable_ECNBASIC2012_EC1200A1,dc/base/CensusSuperTMCFTable_ECNBASIC2012_EC1200A1,https://data.census.gov/api/access/table/download
dc/base/CDCWonder_NNDSS_InfectiousWeekly,dc/base/CDCWonder_NNDSS_InfectiousWeekly,https://wonder.cdc.gov/nndss/nndss_weekly_tables_menu.asp
dc/base/EPHHeatRelatedIllness,dc/base/EPHHeatRelatedIllness,https://ephtracking.cdc.gov/qrlist/35
dc/base/US_CDC_PRAMS,dc/base/US_CDC_PRAMS,https://www.cdc.gov/prams/prams-data/
dc/base/Commerce_EDA,dc/base/Commerce_EDA,https://www.commerce.gov/bureaus-and-offices/eda
dc/base/USDOL_ETA539,dc/base/USDOL_ETA539,https://oui.doleta.gov/unemploy/
dc/base/FBIGovCrime,dc/base/FBIGovCrime,http://www.fbi.gov/services/cjis/ucr
dc/base/FARS_CrashNodes,dc/base/FARS_CrashNodes,https://www.nhtsa.gov/file-downloads?p=nhtsa/downloads/FARS/
dc/base/EurostatGeoCoodinates,dc/base/EurostatGeoCoodinates,https://ec.europa.eu/eurostat/web/gisco/geodata/reference-data/administrative-units-statistical-units/nuts
dc/base/EuroGeos,dc/base/EuroGeos,https://ec.europa.eu/eurostat/web/gisco/geodata/reference-data/administrative-units-statistical-units/nuts
dc/base/IndiaUDISEGeos,dc/base/IndiaUDISEGeos,http://pgi.seshagun.gov.in/BackEnd-master/api/report/getMasterData
dc/base/IndiaUDISEStateMappings,dc/base/IndiaUDISEStateMappings,http://pgi.seshagun.gov.in/BackEnd-master/api/report/getMasterData
dc/base/ENCODE,dc/base/ENCODE,https://www.encodeproject.org/
dc/base/IndiaNSS_HealthAilments_StatVarAgg,dc/base/IndiaNSS_HealthAilments_StatVarAgg,https://ndap.niti.gov.in/dataset/7300
dc/base/NYBG,dc/base/NYBG,https://nybg.org
dc/base/EPA_EJSCREEN_AggCensusTract_AggCounty,dc/base/EPA_EJSCREEN_AggCensusTract_AggCounty,https://gaftp.epa.gov/EJSCREEN/
dc/base/EPA_EJSCREEN_AggCensusTract,dc/base/EPA_EJSCREEN_AggCensusTract,https://gaftp.epa.gov/EJSCREEN/
dc/base/FBIGovCrime_AggCountry,dc/base/FBIGovCrime_AggCountry,http://www.fbi.gov/services/cjis/ucr
dc/base/FireFAMWEB_Agg,dc/base/FireFAMWEB_Agg,https://fam.nwcg.gov/fam-web/
dc/base/WikidataGeo_Macedonia,dc/base/WikidataGeo_Macedonia,https://en.wikipedia.org/wiki/Governorates_of_Macedonian/
dc/base/WorldBankCountryBoundaries,dc/base/WorldBankCountryBoundaries,https://datacatalog.worldbank.org/dataset/world-bank-official-boundaries
dc/base/IndiaCensus_PrimaryReligion,dc/base/IndiaCensus_PrimaryReligion,https://censusindia.gov.in/
dc/base/IndiaCensus_PrimarySC,dc/base/IndiaCensus_PrimarySC,https://censusindia.gov.in/
dc/base/IndiaCensus_PrimaryHouseless,dc/base/IndiaCensus_PrimaryHouseless,https://censusindia.gov.in/
dc/base/IndiaCensus_Primary,dc/base/IndiaCensus_Primary,https://censusindia.gov.in/
dc/base/IndiaNHM,dc/base/IndiaNHM,https://hmis.nhp.gov.in/
dc/base/IndiaCensus_PrimaryST,dc/base/IndiaCensus_PrimaryST,https://censusindia.gov.in/
dc/base/IndiaEnergy,dc/base/IndiaEnergy,https://niti.gov.in/edm/
dc/base/IndiaNSS_HealthAilments,dc/base/IndiaNSS_HealthAilments,https://ndap.niti.gov.in/dataset/7300
dc/base/India_LifeExpectancy,dc/base/India_LifeExpectancy,https://ndap.niti.gov.in/dataset/7375
dc/base/India_GeoSadak,dc/base/India_GeoSadak,https://geosadak-pmgsy.nic.in/
dc/base/Cotedivoire_Census,dc/base/Cotedivoire_Census,https://cotedivoire.opendataforafrica.org/
dc/base/India_UPIStatistics,dc/base/India_UPIStatistics,https://www.npci.org.in/statistics
dc/base/EthiopiaStatistics,dc/base/EthiopiaStatistics,https://ethiopia.opendataforafrica.org/data/#menu=topic
dc/base/Egypt_Census,dc/base/Egypt_Census,https://egypt.opendataforafrica.org
dc/base/India_NFHS,dc/base/India_NFHS,"https://ndap.niti.gov.in/dataset/6821, https://ndap.niti.gov.in/dataset/7034, https://ndap.niti.gov.in/dataset/6822"
dc/base/Indonesia_Census,dc/base/Indonesia_Census,https://www.bps.go.id/
dc/base/Kenya_Census,dc/base/Kenya_Census,https://kenya.opendataforafrica.org/
dc/base/NITIIndiaPopulationProjection,dc/base/NITIIndiaPopulationProjection,"https://ndap.niti.gov.in/dataset/7208, https://ndap.niti.gov.in/dataset/7209"
dc/base/CanadaStatistics,dc/base/CanadaStatistics,https://www150.statcan.gc.ca/n1/en/type/data?MM=1
dc/base/MexicoCensus,dc/base/MexicoCensus,https://www.inegi.org.mx/temas/
dc/base/NOAA_CoastWatch_SeaSurfaceSalinity,dc/base/NOAA_CoastWatch_SeaSurfaceSalinity,https://coastwatch.noaa.gov/erddap/griddap/noaacwSMAPsss3Daily.html
dc/base/NigeriaStatistics,dc/base/NigeriaStatistics,https://nigeria.opendataforafrica.org
dc/base/OECD_Air_GHG_emissions,dc/base/OECD_Air_GHG_emissions,https://data.oecd.org/air/air-and-ghg-emissions.htm
dc/base/OECD_Waste_Water_Treatment,dc/base/OECD_Waste_Water_Treatment,https://www.oecd.org/
