id,prov_id,provenance_url
dc/base/EurostatData_GDP,dc/base/EurostatData_GDP,https://ec.europa.eu/eurostat/databrowser/view/nama_10r_3gdp/default/table?lang=en
dc/base/EurostatData_LifeExpectancy,dc/base/EurostatData_LifeExpectancy,https://ec.europa.eu/eurostat/databrowser/view/demo_r_mlifexp/default/table?lang=en
dc/base/India_RBI_State_Statistics,dc/base/India_RBI_State_Statistics,https://rbi.org.in/
dc/base/UNEnergy,dc/base/UNEnergy,https://unstats.un.org/unsd/energystats/data/
dc/base/USMonthlyRetailSales,dc/base/USMonthlyRetailSales,https://www.census.gov/retail/index.html
dc/base/EIA_NaturalGas,dc/base/EIA_NaturalGas,https://www.eia.gov/opendata/qb.php?category=714804
dc/base/EIA_Petroleum,dc/base/EIA_Petroleum,https://www.eia.gov/opendata/qb.php?category=714755
dc/base/EIA_SEDS,dc/base/EIA_SEDS,https://www.eia.gov/opendata/qb.php?category=40203
dc/base/EIA_TotalEnergy,dc/base/EIA_TotalEnergy,https://www.eia.gov/opendata/qb.php?category=711224
dc/base/USBTS_Tract_Household_Transportation,dc/base/USBTS_Tract_Household_Transportation,https://www.bts.dot.gov/latch/latch-data
dc/base/USCensusPEP_Sex,dc/base/USCensusPEP_Sex,https://www.census.gov/programs-surveys/popest.html
dc/base/EIA_Electricity,dc/base/EIA_Electricity,https://www.eia.gov/opendata/browser/electricity
dc/base/CensusCountyBusinessPatterns,dc/base/CensusCountyBusinessPatterns,https://www.census.gov/programs-surveys/cbp.html
dc/base/Rwanda_Census,dc/base/Rwanda_Census,https://rwanda.opendataforafrica.org/
dc/base/UAE_Population,dc/base/UAE_Population,https://bayanat.ae/en/Data?query=population
dc/base/USCensusPEP_AgeSexRaceHispanicOrigin,dc/base/USCensusPEP_AgeSexRaceHispanicOrigin,https://www2.census.gov/programs-surveys/popest/tables
dc/base/USCensusPEP_PopulationEstimatebyRace,dc/base/USCensusPEP_PopulationEstimatebyRace,https://www.census.gov/programs-surveys/popest.html
dc/base/India_RBIStateDomesticProduct,dc/base/India_RBIStateDomesticProduct,https://rbi.org.in/
dc/base/Brazil_RuralDevelopmentProgram,dc/base/Brazil_RuralDevelopmentProgram,https://aplicacoes.cidadania.gov.br/vis/data3/data-explorer.php
dc/base/Mongolia_Employment,dc/base/Mongolia_Employment,https://www.1212.mn/en/statcate
dc/base/US_UrbanSchool_Enrollment,dc/base/US_UrbanSchool_Enrollment,https://ocrdata.ed.gov/
dc/base/Mongolia_Demographics,dc/base/Mongolia_Demographics,https://www.1212.mn/en/statcate
dc/base/Mongolia_Education,dc/base/Mongolia_Education,https://www.1212.mn/en/statcate
dc/base/Mongolia_Health,dc/base/Mongolia_Health,https://www.1212.mn/en/statcate
dc/base/EuroStatHealth_BodyMassIndex,dc/base/EuroStatHealth_BodyMassIndex,https://ec.europa.eu/eurostat/web/main/data/database
dc/base/FAO_Currency_statvar,dc/base/FAO_Currency_statvar,https://www.fao.org/faostat/en/#data/PE/metadata
dc/base/CRDC_Education_Discipline_Attendance,dc/base/CRDC_Education_Discipline_Attendance,https://civilrightsdata.ed.gov/data
dc/base/EPA_USAirPollutantEmissionTrends_NationalAndState,dc/base/EPA_USAirPollutantEmissionTrends_NationalAndState,https://www.epa.gov/air-emissions-inventories/air-pollutant-emissions-trends-data
dc/base/EuroStatHealth_AlcoholConsumption,dc/base/EuroStatHealth_AlcoholConsumption,https://ec.europa.eu/eurostat/web/main/data/database
dc/base/EuroStatHealth_FruitsAndVegetables,dc/base/EuroStatHealth_FruitsAndVegetables,https://ec.europa.eu/eurostat/web/main/data/database
dc/base/EuroStatHealth_SocialEnvironment,dc/base/EuroStatHealth_SocialEnvironment,https://ec.europa.eu/eurostat/web/main/data/database
dc/base/EurostatHealth_Tobacco_Consumption,dc/base/EurostatHealth_Tobacco_Consumption,https://ec.europa.eu/eurostat/web/main/data/database
dc/base/MexicoCensus_AA2,dc/base/MexicoCensus_AA2,https://data.humdata.org/dataset/cod-ps-mex
dc/base/OECDRegionalEducation,dc/base/OECDRegionalEducation,https://stats.oecd.org/Index.aspx?DataSetCode=REGION_EDUCAT
