id,prov_id,provenance_url
1,dc_import_1,https://www.epa.gov/enviro/greenhouse-gas-overview
2,dc_import_2,https://www.ncdc.noaa.gov/stormevents/ftp.jsp
3,dc_import_3,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp
4,dc_import_4,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp-cmip6
5,dc_import_5,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp-cmip6
6,dc_import_6,https://cds.climate.copernicus.eu/cdsapp#!/dataset/reanalysis-era5-single-levels
7,dc_import_7,https://www.ncei.noaa.gov/products/land-based-station/global-historical-climatology-network-daily
8,dc_import_8,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp
9,dc_import_9,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp-cmip6
10,dc_import_10,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp-cmip6
11,dc_import_11,https://censusindia.gov.in/census.website/data/census-tables 
12,dc_import_12,https://censusindia.gov.in/census.website/data/census-tables 
13,dc_import_13,https://mospi.gov.in/web/plfs 
14,dc_import_14,https://censusindia.gov.in/census.website/data/census-tables 
15,dc_import_15,https://censusindia.gov.in/census.website/data/census-tables 
16,dc_import_16,https://censusindia.gov.in/census.website/data/census-tables 
17,dc_import_17,https://ec.europa.eu/eurostat/web/health/data/database
18,dc_import_18,https://ec.europa.eu/eurostat/web/health/data/database
19,dc_import_19,https://ec.europa.eu/eurostat/web/health/data/database
20,dc_import_20,https://opportunityinsights.org/data/
21,dc_import_21,https://ndap.niti.gov.in/dataset/6822
22,dc_import_22,https://data.cdc.gov/browse?category=Environmental+Health+%26+Toxicology%22
23,dc_import_23,https://ncses.nsf.gov/
24,dc_import_24,https://www.epa.gov/outdoor-air-quality-data
25,dc_import_25,https://www.epa.gov/air-emissions-inventories/national-emissions-inventory-nei
26,dc_import_26,https://www.federalreserve.gov/DataDownload/Choose.aspx?rel=H15
27,dc_import_27,https://wonder.cdc.gov/cmf-icd10.html
28,dc_import_28,https://www.nass.usda.gov/AgCensus/
29,dc_import_29,https://wonder.cdc.gov/natality.html
30,dc_import_30,https://data.stadt-zuerich.ch/
31,dc_import_31,https://ncses.nsf.gov/
32,dc_import_32,https://www.stats.govt.nz/topics/population
33,dc_import_33,https://ec.europa.eu/eurostat/
34,dc_import_34,https://data.stadt-zuerich.ch/
35,dc_import_35,https://www.cdc.gov/places/index.html
36,dc_import_36,https://data-explorer.oecd.org/vis?df[ds]=DisseminateFinalDMZ&df[id]=DSD_REG_DEMO%40DF_DEATH_5Y&df[ag]=OECD.CFE.EDS&df[vs]=2.0&dq=A.......&to[TIME_PERIOD]=false&pd=%2C
37,dc_import_37,https://www.census.gov/programs-surveys/acs
38,dc_import_38,https://www.census.gov
39,dc_import_39,https://www.census.gov/programs-surveys/acs
40,dc_import_40,https://www.census.gov/programs-surveys/popest/about.html
41,dc_import_41,https://www.census.gov/programs-surveys/economic-census/about.html
42,dc_import_42,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html
43,dc_import_43,https://ec.europa.eu/eurostat/
44,dc_import_44,https://nigeria.opendataforafrica.org
45,dc_import_45,https://ec.europa.eu/eurostat/
46,dc_import_46,https://www150.statcan.gc.ca/n1/en/type/data?MM=1
47,dc_import_47,https://ephtracking.cdc.gov/qrlist/35
48,dc_import_48,https://www.fao.org/faostat/en/#data/PE/metadata
