id,prov_id,provenance_url,status,error_reason
6,dc_import_6,https://cds.climate.copernicus.eu/cdsapp#!/dataset/reanalysis-era5-single-levels,FAILED,NO_DATE_FOUND_ALL_METHODS
11,dc_import_11,https://censusindia.gov.in/census.website/data/census-tables ,FAILED,NO_DATE_FOUND_ALL_METHODS
12,dc_import_12,https://censusindia.gov.in/census.website/data/census-tables ,FAILED,NO_DATE_FOUND_ALL_METHODS
13,dc_import_13,https://mospi.gov.in/web/plfs ,FAILED,NO_DATE_FOUND_ALL_METHODS
14,dc_import_14,https://censusindia.gov.in/census.website/data/census-tables ,FAILED,NO_DATE_FOUND_ALL_METHODS
15,dc_import_15,https://censusindia.gov.in/census.website/data/census-tables ,FAILED,NO_DATE_FOUND_ALL_METHODS
16,dc_import_16,https://censusindia.gov.in/census.website/data/census-tables ,FAILED,NO_DATE_FOUND_ALL_METHODS
18,dc_import_18,https://ec.europa.eu/eurostat/web/health/data/database,FAILED,NO_DATE_FOUND_ALL_METHODS
17,dc_import_17,https://ec.europa.eu/eurostat/web/health/data/database,FAILED,NO_DATE_FOUND_ALL_METHODS
19,dc_import_19,https://ec.europa.eu/eurostat/web/health/data/database,FAILED,NO_DATE_FOUND_ALL_METHODS
26,dc_import_26,https://www.federalreserve.gov/DataDownload/Choose.aspx?rel=H15,FAILED,NO_DATE_FOUND_ALL_METHODS
27,dc_import_27,https://wonder.cdc.gov/cmf-icd10.html,FAILED,NO_DATE_FOUND_ALL_METHODS
22,dc_import_22,https://data.cdc.gov/browse?category=Environmental+Health+%26+Toxicology%22,FAILED,NO_DATE_FOUND_ALL_METHODS
30,dc_import_30,https://data.stadt-zuerich.ch/,FAILED,NO_DATE_FOUND_ALL_METHODS
32,dc_import_32,https://www.stats.govt.nz/topics/population,FAILED,NO_DATE_FOUND_ALL_METHODS
2,dc_import_2,https://www.ncdc.noaa.gov/stormevents/ftp.jsp,FAILED,NO_DATE_FOUND_ALL_METHODS
33,dc_import_33,https://ec.europa.eu/eurostat/,FAILED,NO_DATE_FOUND_ALL_METHODS
34,dc_import_34,https://data.stadt-zuerich.ch/,FAILED,NO_DATE_FOUND_ALL_METHODS
44,dc_import_44,https://nigeria.opendataforafrica.org,FAILED,NO_DATE_FOUND_ALL_METHODS
43,dc_import_43,https://ec.europa.eu/eurostat/,FAILED,NO_DATE_FOUND_ALL_METHODS
45,dc_import_45,https://ec.europa.eu/eurostat/,FAILED,NO_DATE_FOUND_ALL_METHODS
48,dc_import_48,https://www.fao.org/faostat/en/#data/PE/metadata,LOW_CONFIDENCE,CONFIDENCE_TOO_LOW_0.25
46,dc_import_46,https://www150.statcan.gc.ca/n1/en/type/data?MM=1,LOW_CONFIDENCE,CONFIDENCE_TOO_LOW_0.28
47,dc_import_47,https://ephtracking.cdc.gov/qrlist/35,FAILED,NO_DATE_FOUND_ALL_METHODS
51,dc_import_51,https://ec.europa.eu/eurostat/,FAILED,NO_DATE_FOUND_ALL_METHODS
55,dc_import_55,https://ec.europa.eu/eurostat/,FAILED,NO_DATE_FOUND_ALL_METHODS
57,dc_import_57,https://ec.europa.eu/eurostat/web/education-and-training/database,FAILED,NO_DATE_FOUND_ALL_METHODS
58,dc_import_58,https://ec.europa.eu/eurostat/,FAILED,NO_DATE_FOUND_ALL_METHODS
61,dc_import_61,https://www.bls.gov/cpi,FAILED,NO_DATE_FOUND_ALL_METHODS
64,dc_import_64,https://southafrica.opendataforafrica.org/,FAILED,NO_DATE_FOUND_ALL_METHODS
66,dc_import_66,https://www.bls.gov/cpi/tables/supplemental-files/ ,FAILED,NO_DATE_FOUND_ALL_METHODS
60,dc_import_60,https://quickstats.nass.usda.gov/,FAILED,NO_DATE_FOUND_ALL_METHODS
70,dc_import_70,https://www.bls.gov/jlt/,FAILED,NO_DATE_FOUND_ALL_METHODS
67,dc_import_67,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/,FAILED,NO_DATE_FOUND_ALL_METHODS
62,dc_import_62,https://www.ibge.gov.br/en/statistics/social/population.html,LOW_CONFIDENCE,CONFIDENCE_TOO_LOW_0.25
72,dc_import_72,https://www.bls.gov/ces,FAILED,NO_DATE_FOUND_ALL_METHODS
68,dc_import_68,https://www.wikidata.org/wiki/Wikidata:Main_Page,LOW_CONFIDENCE,CONFIDENCE_TOO_LOW_0.25
74,dc_import_74,https://rwanda.opendataforafrica.org/,FAILED,NO_DATE_FOUND_ALL_METHODS
75,dc_import_75,https://www.bls.gov/ces,FAILED,NO_DATE_FOUND_ALL_METHODS
77,dc_import_77,https://data.bis.org/topics/CBPOL,FAILED,NO_DATE_FOUND_ALL_METHODS
73,dc_import_73,https://data.humdata.org/group/lka,FAILED,NO_DATE_FOUND_ALL_METHODS
88,dc_import_88,https://www.bls.gov/cew,FAILED,NO_DATE_FOUND_ALL_METHODS
79,dc_import_79,https://lcviewer.vito.be/2015,FAILED,NO_DATE_FOUND_ALL_METHODS
89,dc_import_89,https://www.dol.gov/agencies/whd/state/minimum-wage/history,FAILED,NO_DATE_FOUND_ALL_METHODS
84,dc_import_84,https://data.cdc.gov/browse?category=Environmental+Health+%26+Toxicology%22,FAILED,NO_DATE_FOUND_ALL_METHODS
