id,prov_id,provenance_url,status,error_reason
dc/base/EurostatData_GDP,dc/base/EurostatData_GDP,https://ec.europa.eu/eurostat/databrowser/view/nama_10r_3gdp/default/table?lang=en,FAILED,NO_DATE_FOUND_ALL_METHODS
dc/base/EurostatData_LifeExpectancy,dc/base/EurostatData_LifeExpectancy,https://ec.europa.eu/eurostat/databrowser/view/demo_r_mlifexp/default/table?lang=en,FAILED,NO_DATE_FOUND_ALL_METHODS
dc/base/UNEnergy,dc/base/UNEnergy,https://unstats.un.org/unsd/energystats/data/,FAILED,NO_DATE_FOUND_ALL_METHODS
dc/base/India_RBI_State_Statistics,dc/base/India_RBI_State_Statistics,https://rbi.org.in/,FAILED,NO_DATE_FOUND_ALL_METHODS
dc/base/USBTS_Tract_Household_Transportation,dc/base/USBTS_Tract_Household_Transportation,https://www.bts.dot.gov/latch/latch-data,FAILED,NO_DATE_FOUND_ALL_METHODS
dc/base/EIA_Electricity,dc/base/EIA_Electricity,https://www.eia.gov/opendata/browser/electricity,FAILED,NO_DATE_FOUND_ALL_METHODS
dc/base/EIA_SEDS,dc/base/EIA_SEDS,https://www.eia.gov/opendata/qb.php?category=40203,FAILED,NO_DATE_FOUND_ALL_METHODS
dc/base/EIA_NaturalGas,dc/base/EIA_NaturalGas,https://www.eia.gov/opendata/qb.php?category=714804,FAILED,NO_DATE_FOUND_ALL_METHODS
dc/base/EIA_Petroleum,dc/base/EIA_Petroleum,https://www.eia.gov/opendata/qb.php?category=714755,FAILED,NO_DATE_FOUND_ALL_METHODS
dc/base/Rwanda_Census,dc/base/Rwanda_Census,https://rwanda.opendataforafrica.org/,FAILED,NO_DATE_FOUND_ALL_METHODS
dc/base/EIA_TotalEnergy,dc/base/EIA_TotalEnergy,https://www.eia.gov/opendata/qb.php?category=711224,FAILED,NO_DATE_FOUND_ALL_METHODS
dc/base/Mongolia_Employment,dc/base/Mongolia_Employment,,SKIPPED,EMPTY_URL
dc/base/US_UrbanSchool_Enrollment,dc/base/US_UrbanSchool_Enrollment,,SKIPPED,EMPTY_URL
dc/base/Mongolia_Demographics,dc/base/Mongolia_Demographics,,SKIPPED,EMPTY_URL
dc/base/Mongolia_Education,dc/base/Mongolia_Education,,SKIPPED,EMPTY_URL
dc/base/Mongolia_Health,dc/base/Mongolia_Health,,SKIPPED,EMPTY_URL
dc/base/EuroStatHealth_BodyMassIndex,dc/base/EuroStatHealth_BodyMassIndex,,SKIPPED,EMPTY_URL
dc/base/India_RBIStateDomesticProduct,dc/base/India_RBIStateDomesticProduct,https://rbi.org.in/,FAILED,NO_DATE_FOUND_ALL_METHODS
dc/base/EuroStatHealth_FruitsAndVegetables,dc/base/EuroStatHealth_FruitsAndVegetables,,SKIPPED,EMPTY_URL
dc/base/EuroStatHealth_SocialEnvironment,dc/base/EuroStatHealth_SocialEnvironment,,SKIPPED,EMPTY_URL
dc/base/EurostatHealth_Tobacco_Consumption,dc/base/EurostatHealth_Tobacco_Consumption,,SKIPPED,EMPTY_URL
dc/base/EuroStatHealth_AlcoholConsumption,dc/base/EuroStatHealth_AlcoholConsumption,https://ec.europa.eu/eurostat/web/main/data/database,FAILED,NO_DATE_FOUND_ALL_METHODS
dc/base/OECDRegionalEducation,dc/base/OECDRegionalEducation,,SKIPPED,EMPTY_URL
dc/base/US_Urban_Schools_Teachers_And_Staff,dc/base/US_Urban_Schools_Teachers_And_Staff,,SKIPPED,EMPTY_URL
dc/base/CDC_StandardizedPrecipitationIndex,dc/base/CDC_StandardizedPrecipitationIndex,,SKIPPED,EMPTY_URL
dc/base/BLS_CPI,dc/base/BLS_CPI,,SKIPPED,EMPTY_URL
dc/base/CDC_PM25CensusTract,dc/base/CDC_PM25CensusTract,,SKIPPED,EMPTY_URL
dc/base/CanadaStatisticsAgeGender,dc/base/CanadaStatisticsAgeGender,,SKIPPED,EMPTY_URL
dc/base/Brazil_RuralDevelopmentProgram,dc/base/Brazil_RuralDevelopmentProgram,https://aplicacoes.cidadania.gov.br/vis/data3/data-explorer.php,FAILED,NO_DATE_FOUND_ALL_METHODS
dc/base/USFEMA_FloodInsuranceClaims,dc/base/USFEMA_FloodInsuranceClaims,,SKIPPED,EMPTY_URL
dc/base/USFEMA_NationalRiskIndex,dc/base/USFEMA_NationalRiskIndex,,SKIPPED,EMPTY_URL
dc/base/NewYork_Education,dc/base/NewYork_Education,,SKIPPED,EMPTY_URL
dc/base/NCBI_Taxonomy,dc/base/NCBI_Taxonomy,,SKIPPED,EMPTY_URL
dc/base/BLS_CPI_Category,dc/base/BLS_CPI_Category,,SKIPPED,EMPTY_URL
dc/base/Brazil_SIDRA_IBGE,dc/base/Brazil_SIDRA_IBGE,,SKIPPED,EMPTY_URL
dc/base/WorldBank_IDS,dc/base/WorldBank_IDS,,SKIPPED,EMPTY_URL
