id,name,provenance_url,last_modified,last_modified_raw,status,error,method,previous_error
dc/base/USBTS_Tract_Household_Transportation,USBTS_Tract_Household_Transportation,https://www.bts.dot.gov/latch/latch-data,,,ERROR,BROWSER_ERROR: BrowserType.launch: Executable doesn't exist at C:\Users\anushka.gupta_clouds\Ap,,HTTP_?
dc/base/EPA_EJSCREEN,EPA_EJSCREEN,https://gaftp.epa.gov/EJSCREEN/,,,ERROR,BROWSER_ERROR: BrowserType.launch: Executable doesn't exist at C:\Users\anushka.gupta_clouds\Ap,,HTTP_?
dc/base/BLS_CPI_Category,BLS_CPI_Category,https://www.bls.gov/cpi/,,,ERROR,BROWSER_ERROR: BrowserType.launch: Executable doesn't exist at C:\Users\anushka.gupta_clouds\Ap,,HTTP_?
dc/base/BLS_CES_State,BLS_CES_State,https://www.bls.gov/sae/overview.htm,,,ERROR,BROWSER_ERROR: BrowserType.launch: Executable doesn't exist at C:\Users\anushka.gupta_clouds\Ap,,HTTP_?
dc/base/CensusSuperTMCFTable_ECNBASIC2012_EC1200A1,CensusSuperTMCFTable_ECNBASIC2012_EC1200A1,https://data.census.gov/api/access/table/download,,,ERROR,BROWSER_ERROR: BrowserType.launch: Executable doesn't exist at C:\Users\anushka.gupta_clouds\Ap,,HTTP_?
dc/base/USFEMA_NationalRiskIndex,USFEMA_NationalRiskIndex,https://hazards.fema.gov/nri/,,,ERROR,BROWSER_ERROR: BrowserType.launch: Executable doesn't exist at C:\Users\anushka.gupta_clouds\Ap,,SSL_ERROR
dc/base/CDCWonder_NNDSS_InfectiousWeekly,CDCWonder_NNDSS_InfectiousWeekly,https://wonder.cdc.gov/nndss/nndss_weekly_tables_menu.asp,,,ERROR,BROWSER_ERROR: BrowserType.launch: Executable doesn't exist at C:\Users\anushka.gupta_clouds\Ap,,HTTP_?
dc/base/EPHHeatRelatedIllness,EPHHeatRelatedIllness,https://ephtracking.cdc.gov/qrlist/35,,,ERROR,BROWSER_ERROR: BrowserType.launch: Executable doesn't exist at C:\Users\anushka.gupta_clouds\Ap,,HTTP_?
dc/base/US_CDC_PRAMS,US_CDC_PRAMS,https://www.cdc.gov/prams/prams-data/,,,ERROR,BROWSER_ERROR: BrowserType.launch: Executable doesn't exist at C:\Users\anushka.gupta_clouds\Ap,,HTTP_?
dc/base/Commerce_EDA,Commerce_EDA,https://www.commerce.gov/bureaus-and-offices/eda,,,ERROR,BROWSER_ERROR: BrowserType.launch: Executable doesn't exist at C:\Users\anushka.gupta_clouds\Ap,,HTTP_?
